cluster_id,total_PRCSF,total_AI,total_PLA_AI,total_PLAN_AI,total_PLAAF_AI,total_PLARF_AI,total_PLAOther_AI,total_PAP_AI,total_MPS_AI,NP,growth_percent_5yr,growth_percent_3yr,citations_per_paper,ai_percent,nlp_percent,cv_percent,ro_percent,max_type,level1_mag,subject
74554,38,2,2,0,0,0,2,0,0,662,-52.27,-62.5,5.34,0.3,0.0,0.15,0.0,Other,geotechnical engineering,"瓦斯抽采,数值模拟,numerical simulation"
21551,38,1,1,0,0,0,1,1,0,1191,-54.55,-11.76,20.06,0.08,0.0,0.0,0.08,Other,anesthesia,"lung,ventilation,perfluorocarbon"
6,38,1,1,0,0,0,1,0,0,7119,6.48,20.65,33.88,0.29,0.0,0.0,0.24,Other,acoustics,"energy harvesting,harvester,energy harvester"
34132,38,16,16,7,4,3,4,0,0,931,3.57,9.43,16.51,6.66,0.0,0.75,3.33,Other,control theory,"kalman filter,filter,paper"
19027,38,1,1,1,0,0,0,0,0,1494,1.75,-38.95,16.54,0.07,0.0,0.0,0.0,Other,surgery,"parathyroidectomy,secondary hyperparathyroidism,hyperparathyroidism"
68806,38,1,1,0,0,0,1,0,0,668,-54.55,-63.86,6.65,0.0,0.0,0.0,0.0,Other,internal medicine,"氯吡格雷,aspirin,clopidogrel"
61627,38,1,1,0,0,0,1,0,0,824,-57.58,-70.83,6.64,0.0,0.0,0.0,0.0,Other,internal medicine,"溃疡性结肠炎,quality of life,ulcerative colitis"
48030,38,2,2,0,0,1,1,0,0,937,-80.3,-76.79,7.43,0.43,0.0,0.0,0.0,Other,chromatography,"五味子醇甲,高效液相色谱法,hplc"
16267,38,5,5,1,1,1,3,0,0,1641,-40.0,-14.29,14.1,1.71,0.3,0.24,0.18,Other,distributed computing,"method,paper,system"
43400,38,1,1,0,0,0,1,0,0,878,-75.0,-70.0,9.38,0.46,0.0,0.0,0.0,Other,internal medicine,"study,急性脑梗死,acute cerebral infarction"
89145,38,4,4,0,0,3,1,0,0,757,-52.0,-55.56,3.72,6.34,0.0,0.0,9.38,Other,control engineering,"振动筛,kinematics,adams"
110525,38,3,3,0,1,1,1,0,0,305,75.0,75.0,7.54,0.33,0.0,0.0,0.0,Other,optics,"radar,scattering,chaff"
59217,38,19,18,5,3,1,9,0,1,850,-66.22,-47.92,6.57,16.47,0.24,0.59,0.47,Other,artificial intelligence,"paper,expert system,system"
31663,38,5,5,1,0,0,4,0,0,925,-40.35,-5.56,22.7,0.11,0.0,0.0,0.0,Other,internal medicine,"sleep deprivation,study,effect"
33152,38,1,0,0,0,0,0,1,0,1055,83.05,27.06,24.12,2.84,0.0,0.0,1.04,Other,surgery,"injury,spinal cord injury,cord injury"
22887,38,1,1,0,0,0,1,0,0,1244,-32.73,-9.76,20.87,0.32,0.0,0.0,0.24,Other,anatomy,"cervical spine,biomechanics,model"
7425,38,1,1,0,0,0,1,0,0,2259,22.67,16.46,20.66,0.58,0.0,0.0,0.0,Other,internal medicine,"hemodialysis,patients,dialysis"
79043,38,18,18,2,15,1,1,0,0,406,-30.77,-28.0,11.37,21.18,0.0,4.68,1.72,Other,artificial intelligence,"paper,target tracking,tracking"
32036,38,1,1,0,0,0,1,0,0,2496,-79.07,-76.0,2.97,0.36,0.0,0.0,0.0,Other,mathematics education,"教学改革,实践教学,teaching reform"
1896,38,1,1,0,1,0,0,0,0,2837,39.6,35.58,19.41,0.14,0.0,0.0,0.0,Other,composite material,"composites,effect,behavior"
16235,38,9,9,2,0,1,6,1,0,1407,-7.96,-32.9,15.58,17.63,0.0,1.14,20.26,Other,control theory,"system,paper,filter"
59468,38,2,1,0,0,0,1,1,0,684,-70.31,-75.32,9.31,0.44,0.0,0.0,0.0,Other,anesthesia,"全身麻醉,麻醉深度,propofol"
12405,38,1,1,0,0,0,1,0,0,1696,-44.19,-44.19,32.6,0.12,0.0,0.0,0.0,Other,anesthesia,"hyperalgesia,pain,remifentanil"
2860,38,3,3,1,0,0,2,0,0,2748,-21.35,-22.22,14.69,3.06,0.0,0.0,5.09,Other,structural engineering,"magnetorheological fluid,design,fluid"
